Product Group,Industry,Month,Monthly Spend (£000s)
Other services,Agriculture industry,2023-11,890.11
Other services,Agriculture industry,2023-12,64.19
Total [note 4],Agriculture industry,2023-01,348642.84
Total [note 4],Agriculture industry,2023-02,492762.19
Total [note 4],Agriculture industry,2023-03,19515.34
Total [note 4],Agriculture industry,2023-04,1117371.92
Total [note 4],Agriculture industry,2023-05,93430.78
Total [note 4],Agriculture industry,2023-06,72555.66
Total [note 4],Agriculture industry,2023-07,378840.76
Total [note 4],Agriculture industry,2023-08,140287.24
Total [note 4],Agriculture industry,2023-09,117843.07
Total [note 4],Agriculture industry,2023-10,19346.97
Total [note 4],Agriculture industry,2023-11,624259.36
Total [note 4],Agriculture industry,2023-12,87120.88
Agriculture,Production industry     [note 2],2023-01,1910563.14
Agriculture,Production industry     [note 2],2023-02,561390.7
Agriculture,Production industry     [note 2],2023-03,1138826.11
Agriculture,Production industry     [note 2],2023-04,427991.12
Agriculture,Production industry     [note 2],2023-05,1099184.0
Agriculture,Production industry     [note 2],2023-06,2474503.57
Agriculture,Production industry     [note 2],2023-07,1588889.09
Agriculture,Production industry     [note 2],2023-08,1635527.73
Agriculture,Production industry     [note 2],2023-09,4643952.32
Agriculture,Production industry     [note 2],2023-10,1565178.82
Agriculture,Production industry     [note 2],2023-11,2616486.31
Agriculture,Production industry     [note 2],2023-12,511868.08
Production,Production industry     [note 2],2023-01,32931511.33
Production,Production industry     [note 2],2023-02,35287740.96
Production,Production industry     [note 2],2023-03,11052212.05
Production,Production industry     [note 2],2023-04,45663676.01
Production,Production industry     [note 2],2023-05,18826109.66
Production,Production industry     [note 2],2023-06,56538315.34
Production,Production industry     [note 2],2023-07,15405949.6
Production,Production industry     [note 2],2023-08,9001522.57
Production,Production industry     [note 2],2023-09,80049709.82
Production,Production industry     [note 2],2023-10,15215370.57
Production,Production industry     [note 2],2023-11,42356670.09
Production,Production industry     [note 2],2023-12,14926301.01
Construction,Production industry     [note 2],2023-01,32860.2
Construction,Production industry     [note 2],2023-02,508109.28
Construction,Production industry     [note 2],2023-03,77384.27
Construction,Production industry     [note 2],2023-04,1831753.58
Construction,Production industry     [note 2],2023-05,11114.99
Construction,Production industry     [note 2],2023-06,875971.99
Construction,Production industry     [note 2],2023-07,520201.67
Construction,Production industry     [note 2],2023-08,86299.13
Construction,Production industry     [note 2],2023-09,738900.13
Construction,Production industry     [note 2],2023-10,896029.91
Construction,Production industry     [note 2],2023-11,439372.88
Construction,Production industry     [note 2],2023-12,817201.95
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-01,2411651.24
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-02,499036.39
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-03,5795880.15
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-04,301736.09
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-05,295169.18
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-06,5065279.03
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-07,1362596.23
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-08,3111888.83
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-09,1082811.45
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-10,6192778.45
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-11,1879603.89
"Distribution, transport, hotels and restaurants",Production industry     [note 2],2023-12,51844.07
Information and communication,Production industry     [note 2],2023-01,591258.42
Information and communication,Production industry     [note 2],2023-02,436446.45
Information and communication,Production industry     [note 2],2023-03,210300.73
Information and communication,Production industry     [note 2],2023-04,2455750.84
Information and communication,Production industry     [note 2],2023-05,1233880.19
Information and communication,Production industry     [note 2],2023-06,436890.57
Information and communication,Production industry     [note 2],2023-07,2221238.35
Information and communication,Production industry     [note 2],2023-08,41290.89
Information and communication,Production industry     [note 2],2023-09,397349.49
Information and communication,Production industry     [note 2],2023-10,92099.22
Information and communication,Production industry     [note 2],2023-11,1681832.78
Information and communication,Production industry     [note 2],2023-12,82650.06
Finance and insurance,Production industry     [note 2],2023-01,1911213.8
Finance and insurance,Production industry     [note 2],2023-02,76817.33
Finance and insurance,Production industry     [note 2],2023-03,197041.66
Finance and insurance,Production industry     [note 2],2023-04,1004129.91
Finance and insurance,Production industry     [note 2],2023-05,29675.73
Finance and insurance,Production industry     [note 2],2023-06,499478.42
Finance and insurance,Production industry     [note 2],2023-07,704364.51
Finance and insurance,Production industry     [note 2],2023-08,136583.41
Finance and insurance,Production industry     [note 2],2023-09,226150.54
Finance and insurance,Production industry     [note 2],2023-10,410365.21
Finance and insurance,Production industry     [note 2],2023-11,417599.29
Finance and insurance,Production industry     [note 2],2023-12,33189.18
Real estate,Production industry     [note 2],2023-01,450323.78
Real estate,Production industry     [note 2],2023-02,109526.19
Real estate,Production industry     [note 2],2023-03,76025.35
Real estate,Production industry     [note 2],2023-04,982323.94
Real estate,Production industry     [note 2],2023-05,16447.53
Real estate,Production industry     [note 2],2023-06,342418.2
Real estate,Production industry     [note 2],2023-07,425343.21
Real estate,Production industry     [note 2],2023-08,121109.31
Real estate,Production industry     [note 2],2023-09,495795.15
Real estate,Production industry     [note 2],2023-10,178276.48
Real estate,Production industry     [note 2],2023-11,379642.0
Real estate,Production industry     [note 2],2023-12,354424.87
Professional and support activities,Production industry     [note 2],2023-01,4474190.84
Professional and support activities,Production industry     [note 2],2023-02,1407223.37
Professional and support activities,Production industry     [note 2],2023-03,8612251.61
Professional and support activities,Production industry     [note 2],2023-04,1118421.67
Professional and support activities,Production industry     [note 2],2023-05,6771887.32
Professional and support activities,Production industry     [note 2],2023-06,1744646.96
Professional and support activities,Production industry     [note 2],2023-07,7344968.69
Professional and support activities,Production industry     [note 2],2023-08,3541526.06
Professional and support activities,Production industry     [note 2],2023-09,1076328.06
Professional and support activities,Production industry     [note 2],2023-10,4820449.03
Professional and support activities,Production industry     [note 2],2023-11,1504422.05
Professional and support activities,Production industry     [note 2],2023-12,5222232.34
"Government, health and education",Production industry     [note 2],2023-01,9901.39
"Government, health and education",Production industry     [note 2],2023-02,82268.91
"Government, health and education",Production industry     [note 2],2023-03,63335.62
"Government, health and education",Production industry     [note 2],2023-04,42304.1
"Government, health and education",Production industry     [note 2],2023-05,84652.12
"Government, health and education",Production industry     [note 2],2023-06,36208.54
"Government, health and education",Production industry     [note 2],2023-07,4014.73
"Government, health and education",Production industry     [note 2],2023-08,19729.7
"Government, health and education",Production industry     [note 2],2023-09,24674.62
"Government, health and education",Production industry     [note 2],2023-10,59312.47
"Government, health and education",Production industry     [note 2],2023-11,128101.2
"Government, health and education",Production industry     [note 2],2023-12,1681.61
Other services,Production industry     [note 2],2023-01,11878.57
Other services,Production industry     [note 2],2023-02,563.57
Other services,Production industry     [note 2],2023-03,52206.69
Other services,Production industry     [note 2],2023-04,13161.0
Other services,Production industry     [note 2],2023-05,39022.1
Other services,Production industry     [note 2],2023-06,35772.43
Other services,Production industry     [note 2],2023-07,1784.49
Other services,Production industry     [note 2],2023-08,76976.48
Other services,Production industry     [note 2],2023-09,6751.26
Other services,Production industry     [note 2],2023-10,8657.81
Other services,Production industry     [note 2],2023-11,33662.66
Other services,Production industry     [note 2],2023-12,57675.95
Total [note 4],Production industry     [note 2],2023-01,65042679.85
Total [note 4],Production industry     [note 2],2023-02,17312315.06
Total [note 4],Production industry     [note 2],2023-03,24706708.56
Total [note 4],Production industry     [note 2],2023-04,11189327.33
Total [note 4],Production industry     [note 2],2023-05,89802733.64
Total [note 4],Production industry     [note 2],2023-06,59395458.99
Total [note 4],Production industry     [note 2],2023-07,4232556.41
Total [note 4],Production industry     [note 2],2023-08,9120351.49
Total [note 4],Production industry     [note 2],2023-09,64998751.5
Total [note 4],Production industry     [note 2],2023-10,41849534.13
Total [note 4],Production industry     [note 2],2023-11,98187574.71
Total [note 4],Production industry     [note 2],2023-12,14469032.34
Agriculture,Construction industry,2023-01,1760.68
Agriculture,Construction industry,2023-02,26399.48
Agriculture,Construction industry,2023-03,1380.2
Agriculture,Construction industry,2023-04,37352.61
Agriculture,Construction industry,2023-05,23131.12
Agriculture,Construction industry,2023-06,4137.1
Agriculture,Construction industry,2023-07,401.11
Agriculture,Construction industry,2023-08,50007.73
Agriculture,Construction industry,2023-09,3479.36
Agriculture,Construction industry,2023-10,29223.33
Agriculture,Construction industry,2023-11,45682.87
Agriculture,Construction industry,2023-12,17119.41
Production,Construction industry,2023-01,2867469.28
Production,Construction industry,2023-02,563828.83
Production,Construction industry,2023-03,673731.3
Production,Construction industry,2023-04,1330306.99
Production,Construction industry,2023-05,2751646.41
Production,Construction industry,2023-06,15360554.38
Production,Construction industry,2023-07,9467914.25
Production,Construction industry,2023-08,457105.32
Production,Construction industry,2023-09,2048070.56
Production,Construction industry,2023-10,12785909.78
Production,Construction industry,2023-11,12666290.58
Production,Construction industry,2023-12,9900490.32
Construction,Construction industry,2023-01,3914885.89
Construction,Construction industry,2023-02,10261797.91
Construction,Construction industry,2023-03,23248374.31
Construction,Construction industry,2023-04,6645255.84
Construction,Construction industry,2023-05,2385348.66
Construction,Construction industry,2023-06,3519208.26
Construction,Construction industry,2023-07,12087000.11
Construction,Construction industry,2023-08,10858145.84
Construction,Construction industry,2023-09,1449121.42
Construction,Construction industry,2023-10,2548092.6
Construction,Construction industry,2023-11,24389511.18
Construction,Construction industry,2023-12,3975119.99
"Distribution, transport, hotels and restaurants",Construction industry,2023-01,50346.36
"Distribution, transport, hotels and restaurants",Construction industry,2023-02,26148.27
"Distribution, transport, hotels and restaurants",Construction industry,2023-03,387018.76
"Distribution, transport, hotels and restaurants",Construction industry,2023-04,741127.18
"Distribution, transport, hotels and restaurants",Construction industry,2023-05,307905.67
"Distribution, transport, hotels and restaurants",Construction industry,2023-06,143168.17
"Distribution, transport, hotels and restaurants",Construction industry,2023-07,47581.38
"Distribution, transport, hotels and restaurants",Construction industry,2023-08,368946.9
"Distribution, transport, hotels and restaurants",Construction industry,2023-09,97518.14
"Distribution, transport, hotels and restaurants",Construction industry,2023-10,1584723.82
"Distribution, transport, hotels and restaurants",Construction industry,2023-11,407590.6
"Distribution, transport, hotels and restaurants",Construction industry,2023-12,99168.75
Information and communication,Construction industry,2023-01,29098.6
Information and communication,Construction industry,2023-02,66931.0
Information and communication,Construction industry,2023-03,891118.54
Information and communication,Construction industry,2023-04,302603.77
Information and communication,Construction industry,2023-05,36819.81
Information and communication,Construction industry,2023-06,285490.3
Information and communication,Construction industry,2023-07,148669.28
Information and communication,Construction industry,2023-08,465045.52
Information and communication,Construction industry,2023-09,163613.1
Information and communication,Construction industry,2023-10,38863.24
Information and communication,Construction industry,2023-11,132753.99
Information and communication,Construction industry,2023-12,364724.85
Finance and insurance,Construction industry,2023-01,236376.77
Finance and insurance,Construction industry,2023-02,382188.88
Finance and insurance,Construction industry,2023-03,320197.18
Finance and insurance,Construction industry,2023-04,226033.17
Finance and insurance,Construction industry,2023-05,516681.68
Finance and insurance,Construction industry,2023-06,124132.73
Finance and insurance,Construction industry,2023-07,246257.15
Finance and insurance,Construction industry,2023-08,860596.13
Finance and insurance,Construction industry,2023-09,466252.8
Finance and insurance,Construction industry,2023-10,3832.87
Finance and insurance,Construction industry,2023-11,76110.21
Finance and insurance,Construction industry,2023-12,64174.43
Real estate,Construction industry,2023-01,41226.98
Real estate,Construction industry,2023-02,948399.9
Real estate,Construction industry,2023-03,274057.96
Real estate,Construction industry,2023-04,337217.14
Real estate,Construction industry,2023-05,134035.77
Real estate,Construction industry,2023-06,196548.46
Real estate,Construction industry,2023-07,66229.2
Real estate,Construction industry,2023-08,341124.04
Real estate,Construction industry,2023-09,130959.08
Real estate,Construction industry,2023-10,201385.28
Real estate,Construction industry,2023-11,115744.44
Real estate,Construction industry,2023-12,1535077.75
Professional and support activities,Construction industry,2023-01,3685689.36
Professional and support activities,Construction industry,2023-02,5732412.96
Professional and support activities,Construction industry,2023-03,396548.46
Professional and support activities,Construction industry,2023-04,312272.43
Professional and support activities,Construction industry,2023-05,1436707.3
Professional and support activities,Construction industry,2023-06,4941298.81
Professional and support activities,Construction industry,2023-07,389068.27
Professional and support activities,Construction industry,2023-08,4304700.54
Professional and support activities,Construction industry,2023-09,529410.88
Professional and support activities,Construction industry,2023-10,66147.61
Professional and support activities,Construction industry,2023-11,2229253.41
Professional and support activities,Construction industry,2023-12,2924972.95
"Government, health and education",Construction industry,2023-01,9488.09
"Government, health and education",Construction industry,2023-02,1603.53
"Government, health and education",Construction industry,2023-03,28974.4
"Government, health and education",Construction industry,2023-04,4170.77
"Government, health and education",Construction industry,2023-05,56707.43
"Government, health and education",Construction industry,2023-06,42952.35
"Government, health and education",Construction industry,2023-07,28165.6
"Government, health and education",Construction industry,2023-08,17495.32
"Government, health and education",Construction industry,2023-09,11103.49
"Government, health and education",Construction industry,2023-10,54457.13
"Government, health and education",Construction industry,2023-11,72689.48
"Government, health and education",Construction industry,2023-12,77967.42
Other services,Construction industry,2023-01,37186.87
Other services,Construction industry,2023-02,11399.02
Other services,Construction industry,2023-03,6560.64
Other services,Construction industry,2023-04,45398.21
Other services,Construction industry,2023-05,207904.11
Other services,Construction industry,2023-06,23127.29
Other services,Construction industry,2023-07,29205.18
Other services,Construction industry,2023-08,11670.56
Other services,Construction industry,2023-09,67339.72
Other services,Construction industry,2023-10,198033.7
Other services,Construction industry,2023-11,97531.86
Other services,Construction industry,2023-12,28273.85
Total [note 4],Construction industry,2023-01,2310086.45
Total [note 4],Construction industry,2023-02,1741465.3
Total [note 4],Construction industry,2023-03,7735367.24
Total [note 4],Construction industry,2023-04,17993148.82
Total [note 4],Construction industry,2023-05,38363488.57
Total [note 4],Construction industry,2023-06,2765316.54
Total [note 4],Construction industry,2023-07,7212938.91
Total [note 4],Construction industry,2023-08,16502031.89
Total [note 4],Construction industry,2023-09,32434374.55
Total [note 4],Construction industry,2023-10,71505433.11
Total [note 4],Construction industry,2023-11,19756041.15
Total [note 4],Construction industry,2023-12,1225268.48
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-01,256733.78
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-02,87828.08
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-03,223820.95
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-04,1152.63
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-05,199156.24
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-06,389569.83
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-07,112813.11
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-08,142021.25
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-09,31567.9
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-10,180122.39
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-11,139345.13
Agriculture,"Distribution, transport, hotels and restaurants industry",2023-12,205690.71
Production,"Distribution, transport, hotels and restaurants industry",2023-01,34597838.23
Production,"Distribution, transport, hotels and restaurants industry",2023-02,7111783.0
Production,"Distribution, transport, hotels and restaurants industry",2023-03,3789167.74
Production,"Distribution, transport, hotels and restaurants industry",2023-04,3667708.92
Production,"Distribution, transport, hotels and restaurants industry",2023-05,11171255.37
Production,"Distribution, transport, hotels and restaurants industry",2023-06,5885274.95
Production,"Distribution, transport, hotels and restaurants industry",2023-07,13294910.14
Production,"Distribution, transport, hotels and restaurants industry",2023-08,22251456.66
Production,"Distribution, transport, hotels and restaurants industry",2023-09,2293252.69
Production,"Distribution, transport, hotels and restaurants industry",2023-10,25847413.5
Production,"Distribution, transport, hotels and restaurants industry",2023-11,9087480.41
Production,"Distribution, transport, hotels and restaurants industry",2023-12,8353259.39
Construction,"Distribution, transport, hotels and restaurants industry",2023-01,474114.84
Construction,"Distribution, transport, hotels and restaurants industry",2023-02,268748.76
Construction,"Distribution, transport, hotels and restaurants industry",2023-03,93155.97
Construction,"Distribution, transport, hotels and restaurants industry",2023-04,317361.44
Construction,"Distribution, transport, hotels and restaurants industry",2023-05,341234.27
Construction,"Distribution, transport, hotels and restaurants industry",2023-06,340057.45
Construction,"Distribution, transport, hotels and restaurants industry",2023-07,50826.03
Construction,"Distribution, transport, hotels and restaurants industry",2023-08,230100.3
Construction,"Distribution, transport, hotels and restaurants industry",2023-09,208328.53
Construction,"Distribution, transport, hotels and restaurants industry",2023-10,221618.95
Construction,"Distribution, transport, hotels and restaurants industry",2023-11,101935.01
Construction,"Distribution, transport, hotels and restaurants industry",2023-12,137151.46
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-01,24252026.29
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-02,8792877.77
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-03,11756286.6
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-04,9405426.68
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-05,2818244.44
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-06,5585202.39
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-07,1521777.69
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-08,1000520.44
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-09,2031708.49
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-10,2461210.5
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-11,742468.11
"Distribution, transport, hotels and restaurants","Distribution, transport, hotels and restaurants industry",2023-12,11179020.59
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-01,2479280.67
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-02,1335380.26
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-03,1487237.51
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-04,2417974.45
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-05,167055.12
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-06,720831.62
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-07,254595.14
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-08,3796919.25
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-09,1910809.37
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-10,584110.21
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-11,565359.95
Information and communication,"Distribution, transport, hotels and restaurants industry",2023-12,457563.44
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-01,2284207.69
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-02,858776.06
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-03,1065041.73
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-04,54629.59
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-05,240320.73
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-06,627398.68
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-07,486899.76
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-08,2992746.21
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-09,975776.3
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-10,342700.13
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-11,135796.56
Finance and insurance,"Distribution, transport, hotels and restaurants industry",2023-12,27620.56
Real estate,"Distribution, transport, hotels and restaurants industry",2023-01,3463662.72
Real estate,"Distribution, transport, hotels and restaurants industry",2023-02,7569695.86
Real estate,"Distribution, transport, hotels and restaurants industry",2023-03,259552.72
Real estate,"Distribution, transport, hotels and restaurants industry",2023-04,959802.98
Real estate,"Distribution, transport, hotels and restaurants industry",2023-05,2395416.66
Real estate,"Distribution, transport, hotels and restaurants industry",2023-06,3252769.2
Real estate,"Distribution, transport, hotels and restaurants industry",2023-07,176945.14
Real estate,"Distribution, transport, hotels and restaurants industry",2023-08,131974.65
Real estate,"Distribution, transport, hotels and restaurants industry",2023-09,648600.26
Real estate,"Distribution, transport, hotels and restaurants industry",2023-10,4034466.88
Real estate,"Distribution, transport, hotels and restaurants industry",2023-11,552638.61
Real estate,"Distribution, transport, hotels and restaurants industry",2023-12,4692852.32
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-01,11046388.3
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-02,9823666.18
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-03,2397556.75
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-04,7640279.28
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-05,3093975.62
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-06,19257213.96
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-07,908341.28
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-08,486566.3
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-09,2581150.21
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-10,1343782.68
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-11,4894546.72
Professional and support activities,"Distribution, transport, hotels and restaurants industry",2023-12,2203641.72
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-01,21113.15
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-02,10665.67
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-03,127337.62
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-04,30180.61
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-05,27937.57
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-06,156440.0
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-07,67520.56
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-08,64817.64
"Government, health and education","Distribution, transport, hotels and restaurants industry",2023-09,8795.18
